ID,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Admitted,Age,Location,First_Generation
ID_000041,331.0,115.0,5,3.56,3.1,10.49,1,1,30,North America,1
ID_000042,315.0,104.0,3,3.52,3.11,8.99,0,1,34,Asia,0
ID_000043,322.0,112.0,3,4.42,0.98,10.0,1,1,29,Europe,1
ID_000044,310.0,98.0,1,2.03,2.88,8.12,0,0,35,Europe,1
ID_000045,,104.0,2,,1.52,8.77,0,0,31,North America,1
ID_000046,,103.0,2,3.48,2.88,7.56,0,0,31,Asia,0
ID_000047,317.0,104.0,2,4.13,5.55,10.0,1,0,35,Africa,0
ID_000048,325.0,112.0,4,3.41,4.13,8.86,1,1,34,Africa,1
ID_000049,314.0,105.0,3,1.3,2.7,8.49,0,1,33,South America,0
ID_000050,289.0,101.0,3,2.05,2.79,,0,0,33,South America,0
ID_000051,325.0,,3,3.44,2.82,9.1,0,0,34,Africa,0
ID_000052,,108.0,3,3.74,2.99,8.62,0,1,33,Europe,0
ID_000053,,105.0,2,2.65,3.55,8.53,0,0,22,Europe,0
ID_000054,318.0,105.0,3,1.78,1.91,7.97,0,1,31,South America,0
ID_000055,314.0,109.0,3,5.29,4.77,8.87,0,1,26,North America,0
ID_000056,305.0,104.0,2,2.63,3.45,8.26,0,1,23,Africa,1
ID_000057,304.0,,3,1.81,2.14,9.2,0,0,35,South America,0
ID_000058,309.0,105.0,2,,2.6,8.75,0,1,28,South America,0
ID_000059,325.0,107.0,3,2.6,2.5,8.78,1,1,22,Africa,1
ID_000060,323.0,110.0,4,5.26,5.18,9.69,1,1,24,Africa,1
ID_000061,312.0,97.0,1,5.29,2.99,7.21,1,0,22,Europe,1
ID_000062,312.0,107.0,2,2.49,1.76,8.71,0,1,26,North America,1
ID_000063,304.0,100.0,4,1.67,1.64,6.19,0,0,24,North America,0
ID_000064,308.0,106.0,2,3.2,0.93,7.85,0,0,28,Africa,1
ID_000065,314.0,107.0,2,4.3,5.37,7.5,0,0,26,Asia,1
ID_000066,303.0,,2,1.87,3.08,7.72,0,1,21,South America,0
ID_000067,296.0,101.0,1,2.22,3.43,7.62,0,0,23,South America,0
ID_000068,299.0,98.0,1,2.89,2.9,8.7,0,0,28,Africa,0
ID_000069,323.0,106.0,3,4.6,4.17,9.52,1,1,31,Asia,1
ID_000070,294.0,95.0,2,,1.27,6.21,0,0,33,Europe,0
ID_000071,,104.0,3,1.38,3.22,7.47,1,1,21,Africa,1
ID_000072,319.0,111.0,3,3.23,4.64,7.07,1,1,29,Africa,0
ID_000073,305.0,102.0,2,1.59,0.74,6.35,0,0,28,South America,0
ID_000074,297.0,100.0,2,1.09,2.42,8.08,0,0,29,Africa,1
ID_000075,300.0,102.0,3,3.44,1.82,7.83,0,0,24,Africa,0
ID_000076,313.0,102.0,1,2.9,3.8,7.73,0,0,21,Africa,0
ID_000077,,105.0,3,3.55,3.69,7.81,0,0,23,South America,0
ID_000078,313.0,108.0,3,2.26,2.82,,0,1,31,Europe,0
ID_000079,319.0,111.0,3,2.22,3.76,8.38,1,1,34,Europe,0
ID_000080,308.0,,4,3.01,1.86,8.81,0,0,31,Africa,1
ID_000081,,103.0,2,3.04,3.64,7.81,0,1,26,South America,1
ID_000082,331.0,111.0,5,5.63,4.46,9.28,1,1,31,Europe,0
ID_000083,305.0,95.0,4,3.12,3.11,7.82,0,0,32,Europe,1
ID_000084,321.0,114.0,5,4.53,5.01,10.18,1,1,27,Europe,1
ID_000085,338.0,119.0,4,,4.03,10.66,0,1,34,South America,1
ID_000086,324.0,114.0,4,4.73,5.13,8.66,0,1,22,South America,0
ID_000087,302.0,99.0,2,2.9,2.44,8.58,0,0,33,Africa,0
ID_000088,323.0,,4,4.23,4.26,8.64,0,1,20,North America,0
ID_000089,304.0,101.0,2,,2.68,7.21,0,0,23,Europe,1
ID_000090,308.0,99.0,2,1.72,1.91,7.4,0,0,21,North America,1
ID_000091,318.0,102.0,3,2.21,3.3,6.77,0,0,27,South America,0
ID_000092,326.0,115.0,2,4.13,1.91,9.54,1,1,23,South America,0
ID_000093,329.0,113.0,3,6.33,3.41,9.48,1,1,21,South America,1
ID_000094,,109.0,3,3.4,4.36,8.81,0,1,33,North America,1
ID_000095,289.0,102.0,3,2.11,3.64,,0,0,25,South America,0
ID_000096,307.0,,1,1.33,4.19,8.37,0,0,25,Africa,1
ID_000097,319.0,111.0,3,4.27,3.42,9.31,0,1,29,South America,1
ID_000098,315.0,105.0,2,2.72,3.08,,0,1,23,Asia,1
ID_000099,299.0,98.0,2,1.2,2.7,8.76,0,0,25,North America,1
ID_000100,310.0,104.0,2,,2.26,8.71,0,1,32,Asia,1
ID_000101,316.0,107.0,2,2.27,2.86,8.39,0,1,34,South America,1
ID_000102,333.0,,5,4.49,6.0,,1,1,21,Africa,1
ID_000103,,112.0,4,2.73,5.47,9.98,1,1,29,Europe,0
ID_000104,315.0,110.0,2,4.0,2.77,8.58,0,1,31,South America,0
ID_000105,324.0,110.0,2,2.43,2.88,7.85,1,1,21,Africa,1
ID_000106,326.0,110.0,4,3.56,5.62,9.69,1,1,29,North America,1
ID_000107,315.0,108.0,4,4.1,3.27,8.8,1,1,33,Asia,1
ID_000108,328.0,116.0,5,3.84,4.56,,1,1,23,Asia,0
ID_000109,314.0,104.0,2,3.02,2.73,7.44,0,1,33,Asia,0
ID_000110,305.0,102.0,2,3.22,4.25,6.93,0,0,34,North America,1
ID_000111,311.0,103.0,3,6.01,3.1,10.23,0,1,35,Africa,0
ID_000112,321.0,108.0,3,4.8,3.72,9.17,1,1,34,North America,1
ID_000113,299.0,97.0,2,3.62,3.66,7.89,1,0,27,Asia,1
ID_000114,326.0,113.0,3,4.05,4.35,9.01,1,1,33,South America,1
ID_000115,305.0,104.0,2,2.25,3.4,9.24,0,0,26,Europe,1
ID_000116,337.0,114.0,4,3.48,4.38,9.67,1,1,31,North America,1
ID_000117,308.0,104.0,2,4.13,4.16,7.73,0,0,28,North America,1
ID_000118,333.0,115.0,4,3.79,3.62,7.66,1,1,33,Africa,1
ID_000119,323.0,108.0,3,1.33,2.42,8.78,1,1,27,Africa,0
ID_000120,298.0,98.0,1,2.19,0.43,8.05,0,0,24,North America,1
ID_000121,,108.0,3,4.89,5.6,6.85,1,1,35,Asia,0
ID_000122,310.0,109.0,1,1.82,5.29,8.33,1,0,32,Europe,1
ID_000123,303.0,98.0,2,,3.64,8.15,0,0,21,Africa,1
ID_000124,327.0,,4,4.47,2.83,10.36,1,1,34,Asia,0
ID_000125,308.0,102.0,2,1.61,2.81,8.9,0,0,24,South America,0
ID_000126,326.0,112.0,3,1.71,3.84,8.62,1,1,27,Africa,1
ID_000127,327.0,114.0,5,3.73,5.21,8.75,1,1,29,Asia,0
ID_000128,331.0,113.0,4,4.81,3.76,9.05,1,1,28,Asia,1
ID_000129,321.0,119.0,3,,5.05,10.2,0,1,31,Europe,1
ID_000130,298.0,99.0,2,1.27,1.34,7.11,0,0,31,Europe,0
ID_000131,323.0,110.0,2,3.23,3.04,8.79,1,1,31,South America,0
ID_000132,298.0,101.0,3,3.72,4.68,8.46,0,0,32,Asia,0
ID_000133,315.0,,2,1.88,4.4,7.87,0,1,28,Asia,0
ID_000134,314.0,109.0,3,5.1,4.36,9.18,0,1,32,Europe,1
ID_000135,,110.0,3,3.49,4.97,8.15,1,1,34,Africa,0
ID_000136,321.0,104.0,3,4.54,3.97,,1,1,32,Africa,0
ID_000137,322.0,106.0,4,4.63,1.61,9.61,1,1,20,North America,0
ID_000138,321.0,113.0,4,3.07,4.13,8.03,0,1,28,Europe,0
ID_000139,319.0,110.0,2,3.51,3.64,9.85,0,1,26,North America,0
ID_000140,,111.0,3,,5.37,9.76,0,1,28,Europe,1
ID_000141,320.0,111.0,5,5.34,4.38,9.91,1,1,27,South America,1
ID_000142,325.0,,5,4.94,3.83,9.32,1,1,20,Asia,0
ID_000143,316.0,104.0,2,3.07,4.39,,0,0,31,South America,0
ID_000144,311.0,98.0,1,1.15,3.16,7.1,0,0,27,Europe,1
ID_000145,,105.0,2,1.8,1.13,7.02,0,0,27,Asia,0
ID_000146,321.0,109.0,3,3.82,3.49,8.83,1,1,34,Africa,1
ID_000147,306.0,109.0,2,1.94,4.01,9.35,0,0,30,Africa,1
ID_000148,325.0,114.0,3,,3.07,9.88,1,1,22,North America,0
ID_000149,312.0,108.0,3,4.47,3.27,10.21,0,1,20,Europe,1
ID_000150,,107.0,3,3.09,2.7,8.99,0,0,27,Europe,0
ID_000151,307.0,99.0,3,4.87,3.32,8.95,0,1,22,Africa,0
ID_000152,321.0,108.0,5,4.28,3.84,8.31,1,1,22,South America,1
ID_000153,318.0,105.0,3,,2.41,,1,1,20,Asia,1
ID_000154,307.0,105.0,4,2.95,3.51,,0,0,30,South America,0
ID_000155,322.0,109.0,3,4.37,3.87,9.41,1,1,24,South America,1
ID_000156,315.0,105.0,2,4.04,4.6,9.29,0,0,29,Africa,0
ID_000157,326.0,113.0,3,2.74,3.99,8.88,1,1,26,Africa,1
ID_000158,315.0,110.0,3,3.09,4.95,7.68,0,1,29,Africa,1
ID_000159,310.0,104.0,3,2.81,1.35,8.17,1,0,28,North America,0
ID_000160,322.0,110.0,4,2.03,4.04,9.37,1,1,31,South America,0
ID_000161,298.0,97.0,2,3.55,2.58,6.95,0,0,26,Europe,0
ID_000162,312.0,105.0,2,2.73,2.9,7.52,0,0,28,Asia,1
ID_000163,325.0,106.0,4,2.03,4.06,8.73,1,1,27,North America,0
ID_000164,324.0,110.0,3,4.52,1.39,7.65,1,1,31,Europe,0
ID_000165,301.0,94.0,2,2.61,3.14,7.15,0,0,21,South America,1
ID_000166,316.0,102.0,3,1.2,3.0,7.17,0,0,20,Africa,1
ID_000167,,105.0,3,4.01,3.97,9.17,1,1,35,South America,0
ID_000168,308.0,103.0,2,3.38,3.44,8.38,0,0,26,Asia,0
ID_000169,294.0,99.0,1,,0.67,7.21,0,0,26,North America,0
ID_000170,299.0,96.0,1,,2.93,6.69,0,0,33,North America,0
ID_000171,,105.0,3,1.19,2.42,8.58,0,0,27,Asia,1
ID_000172,311.0,98.0,1,0.48,1.74,7.81,1,0,24,Europe,1
ID_000173,311.0,100.0,3,1.8,3.1,6.58,0,0,22,Europe,0
ID_000174,306.0,105.0,2,4.03,3.67,7.24,0,0,31,North America,0
ID_000175,,117.0,4,5.08,4.33,,1,1,27,North America,0
ID_000176,319.0,109.0,2,3.78,2.23,8.51,0,1,25,Africa,1
ID_000177,336.0,118.0,5,,4.77,8.18,1,1,30,Europe,0
ID_000178,321.0,,3,2.88,3.59,8.97,1,1,22,Asia,0
ID_000179,316.0,98.0,2,2.66,2.77,9.49,0,1,20,Europe,1
ID_000180,,99.0,2,3.34,2.91,8.67,0,0,22,Africa,1
ID_000181,312.0,100.0,3,2.67,2.54,6.81,0,0,24,North America,0
ID_000182,325.0,115.0,4,3.25,3.67,9.63,0,1,34,North America,0
ID_000183,311.0,106.0,2,2.42,1.05,7.76,1,0,33,Africa,1
ID_000184,,106.0,2,,2.99,8.32,0,0,22,Asia,0
ID_000185,,109.0,3,5.09,4.39,,1,1,20,North America,0
ID_000186,330.0,,4,5.22,5.59,10.2,1,1,24,South America,1
ID_000187,308.0,104.0,2,4.31,5.42,9.82,0,1,29,North America,1
ID_000188,317.0,103.0,3,3.73,4.53,8.79,0,1,26,South America,1
ID_000189,326.0,108.0,3,1.85,3.86,8.57,0,1,34,Africa,0
ID_000190,312.0,105.0,2,3.41,2.07,,0,0,33,Africa,1
ID_000191,317.0,110.0,3,,5.06,7.16,0,1,26,North America,1
ID_000192,310.0,105.0,3,,2.45,8.26,1,1,30,Europe,0
ID_000193,,118.0,5,5.75,4.71,7.44,1,1,28,South America,0
ID_000194,321.0,104.0,3,3.68,4.46,9.16,1,1,34,Asia,1
ID_000195,,95.0,2,2.15,3.16,6.28,0,0,34,North America,1
ID_000196,316.0,103.0,3,2.27,3.01,7.93,0,1,29,Asia,0
ID_000197,,105.0,2,2.94,4.6,9.15,0,1,29,North America,0
ID_000198,311.0,103.0,4,,5.54,8.29,0,1,31,Europe,1
ID_000199,319.0,101.0,3,3.31,3.55,8.33,1,1,32,Europe,1
ID_000200,322.0,109.0,3,5.08,4.38,8.22,1,1,22,Europe,0
ID_000201,316.0,100.0,2,2.58,4.57,,0,1,34,Europe,1
ID_000202,305.0,105.0,2,2.67,3.83,8.37,0,1,35,Africa,0
ID_000203,328.0,115.0,4,,3.93,10.65,1,1,26,Africa,1
ID_000204,,111.0,4,4.11,4.08,8.83,1,1,20,South America,0
ID_000205,298.0,99.0,3,2.56,3.52,7.86,0,0,23,Asia,0
ID_000206,335.0,117.0,4,5.03,4.72,,1,1,32,North America,1
ID_000207,313.0,97.0,3,2.06,4.76,9.27,1,1,35,North America,1
ID_000208,323.0,109.0,3,4.84,3.27,10.08,1,1,23,Africa,0
ID_000209,310.0,100.0,2,1.92,1.8,9.51,0,0,33,North America,1
ID_000210,311.0,96.0,2,1.79,2.41,8.56,0,0,24,Africa,1
ID_000211,337.0,118.0,5,4.78,2.95,8.71,1,1,26,South America,1
ID_000212,,110.0,3,3.55,5.46,9.35,0,1,26,Asia,0
ID_000213,306.0,105.0,4,1.65,2.43,7.59,0,0,32,South America,1
ID_000214,326.0,112.0,4,4.35,3.75,9.93,1,1,34,Europe,1
ID_000215,,115.0,4,5.1,4.36,9.17,1,1,30,Europe,0
ID_000216,326.0,113.0,3,,4.47,7.76,1,1,32,Europe,1
ID_000217,313.0,98.0,2,2.34,2.24,7.3,0,0,23,South America,1
ID_000218,291.0,,1,1.02,2.93,7.81,0,0,32,North America,0
ID_000219,328.0,109.0,4,5.7,4.22,9.78,1,1,35,Asia,0
ID_000220,310.0,105.0,2,0.3,1.93,,0,1,26,Europe,1
ID_000221,304.0,100.0,3,1.88,1.55,8.77,0,0,30,Europe,1
ID_000222,314.0,106.0,2,3.4,2.75,7.88,1,0,22,Europe,0
ID_000223,296.0,100.0,1,,1.02,7.66,0,0,25,Asia,0
ID_000224,323.0,108.0,3,4.45,3.26,8.52,0,0,31,Europe,1
ID_000225,319.0,109.0,2,1.52,3.22,8.65,0,1,21,Asia,1
ID_000226,312.0,104.0,3,,4.74,10.16,0,1,29,Europe,1
ID_000227,318.0,112.0,2,2.41,2.67,8.74,0,1,32,South America,0
ID_000228,330.0,115.0,5,4.33,3.24,9.47,1,1,33,South America,1
ID_000229,320.0,111.0,4,2.43,4.52,9.05,1,1,28,Asia,0
ID_000230,,101.0,2,,4.72,7.75,0,0,24,South America,0
ID_000231,300.0,,3,4.4,4.2,7.75,0,0,25,Asia,0
ID_000232,317.0,104.0,2,3.45,3.25,8.44,0,0,31,South America,1
ID_000233,306.0,105.0,2,1.76,3.58,7.9,1,1,31,South America,1
ID_000234,300.0,,2,2.6,3.08,8.55,0,0,31,Asia,1
ID_000235,316.0,101.0,2,2.72,1.9,6.27,0,0,31,North America,0
ID_000236,310.0,104.0,2,2.43,2.69,7.72,0,0,23,South America,1
ID_000237,338.0,115.0,4,3.99,4.11,9.45,1,1,33,Europe,0
ID_000238,311.0,,3,5.23,4.38,6.83,1,1,33,North America,0
ID_000239,,98.0,1,,1.8,7.5,0,0,30,Asia,0
ID_000240,,,4,4.1,4.62,8.88,0,1,35,North America,0
ID_000241,314.0,104.0,2,3.84,4.41,7.6,0,0,29,Africa,0
ID_000242,321.0,110.0,3,2.78,3.05,8.79,1,1,26,Africa,0
ID_000243,297.0,91.0,1,2.65,1.56,7.91,0,0,31,South America,1
ID_000244,315.0,104.0,2,3.11,3.38,6.53,0,1,28,South America,0
ID_000245,320.0,110.0,3,3.13,3.97,9.47,1,1,26,Europe,1
ID_000246,306.0,,3,2.96,1.43,9.69,0,1,33,North America,0
ID_000247,309.0,100.0,1,1.38,3.95,7.0,0,0,20,Africa,1
ID_000248,307.0,106.0,2,3.11,3.33,7.95,0,0,20,South America,1
ID_000249,329.0,111.0,4,4.68,5.49,8.53,1,1,28,North America,1
ID_000250,318.0,103.0,3,3.05,3.68,9.24,1,1,30,South America,1
ID_000251,318.0,101.0,3,2.81,2.36,5.8,0,0,33,South America,0
ID_000252,,,3,2.17,3.03,,1,1,28,Africa,0
ID_000253,323.0,106.0,4,3.56,0.76,8.72,1,1,23,Africa,0
ID_000254,301.0,99.0,2,3.53,3.68,6.82,0,0,32,South America,0
ID_000255,308.0,109.0,2,2.61,5.14,8.58,0,0,28,Asia,1
ID_000256,319.0,107.0,3,2.97,4.65,,1,1,22,South America,1
ID_000257,322.0,107.0,4,2.62,2.87,9.01,1,1,26,South America,1
ID_000258,,117.0,5,4.49,4.93,10.26,1,1,25,Europe,0
ID_000259,302.0,100.0,2,2.68,3.28,7.91,0,0,27,Europe,1
ID_000260,312.0,103.0,3,,6.04,9.54,0,1,30,Europe,0
ID_000261,331.0,120.0,3,4.78,3.61,8.63,1,1,28,Asia,1
ID_000262,323.0,112.0,4,,3.79,9.77,1,1,33,Asia,1
ID_000263,330.0,116.0,5,4.91,4.19,9.63,1,1,24,South America,1
ID_000264,306.0,,2,3.15,4.1,9.08,0,1,20,Europe,1
ID_000265,297.0,92.0,1,2.87,2.41,8.07,0,0,22,Asia,1
ID_000266,300.0,99.0,1,3.16,2.46,7.39,1,0,29,Africa,0
ID_000267,327.0,111.0,3,3.87,2.4,10.14,1,1,31,South America,1
ID_000268,321.0,112.0,3,3.7,4.74,9.3,1,1,27,North America,0
ID_000269,298.0,92.0,1,1.43,2.0,8.84,0,0,34,South America,0
ID_000270,298.0,104.0,3,,4.05,9.78,0,1,30,North America,0
ID_000271,,100.0,2,2.76,2.93,7.85,0,0,25,Europe,0
ID_000272,323.0,104.0,3,2.88,4.15,8.55,1,1,35,North America,0
ID_000273,314.0,101.0,3,2.76,2.46,7.78,0,0,35,Europe,0
ID_000274,323.0,113.0,4,6.57,3.8,8.93,1,1,27,Africa,0
ID_000275,294.0,95.0,2,0.5,1.18,6.87,0,0,28,North America,0
ID_000276,329.0,116.0,5,3.48,3.07,9.38,1,1,23,South America,1
ID_000277,314.0,98.0,2,2.56,2.82,9.87,0,1,20,Europe,1
ID_000278,310.0,97.0,1,2.64,3.84,8.2,0,1,33,South America,0
ID_000279,310.0,100.0,1,2.72,3.29,9.08,1,1,20,Asia,0
ID_000280,,101.0,2,1.53,2.73,7.8,0,0,29,Europe,0
ID_000281,331.0,117.0,4,3.38,4.21,11.0,1,1,23,North America,1
ID_000282,320.0,,3,3.87,3.17,7.47,0,0,31,Europe,1
ID_000283,300.0,106.0,4,1.96,3.59,9.16,0,0,33,South America,0
ID_000284,319.0,103.0,3,3.06,5.27,9.01,1,1,26,Africa,0
ID_000285,310.0,103.0,2,1.22,3.2,9.16,0,1,21,Europe,1
ID_000286,338.0,118.0,5,4.38,4.51,9.62,0,1,22,North America,1
ID_000287,299.0,99.0,3,2.74,1.67,8.88,0,0,20,Asia,0
ID_000288,310.0,104.0,4,3.01,3.62,7.69,0,1,24,Africa,0
ID_000289,330.0,117.0,5,5.11,3.52,10.0,1,1,20,Asia,0
ID_000290,,116.0,4,4.92,3.09,9.36,1,1,27,Europe,0
ID_000291,323.0,109.0,2,,4.04,8.79,1,1,20,South America,1
ID_000292,,115.0,4,5.45,2.87,9.48,1,1,30,South America,1
ID_000293,324.0,111.0,4,3.58,3.57,9.28,1,1,20,North America,0
ID_000294,308.0,98.0,2,2.38,2.34,8.25,0,0,21,South America,0
ID_000295,303.0,99.0,2,2.27,2.04,8.74,0,0,21,Africa,0
ID_000296,,103.0,3,3.23,1.28,8.67,0,1,31,South America,1
ID_000297,313.0,106.0,2,2.65,2.31,9.34,0,1,25,North America,0
ID_000298,330.0,118.0,2,5.62,3.38,,1,1,26,Europe,0
ID_000299,,101.0,2,3.33,3.05,7.68,0,0,24,Europe,0
ID_000300,,,5,4.92,2.25,8.39,0,1,35,South America,1
ID_000301,318.0,103.0,3,3.46,3.05,,1,1,20,Asia,0
ID_000302,302.0,94.0,2,2.7,4.49,7.1,0,0,20,Europe,1
ID_000303,331.0,116.0,5,3.46,4.13,9.16,1,1,22,South America,0
ID_000304,324.0,112.0,4,4.3,2.56,,1,1,33,North America,0
ID_000305,309.0,108.0,1,,4.6,,0,0,21,South America,0
ID_000306,299.0,104.0,3,5.02,2.78,7.84,0,1,24,Europe,1
ID_000307,322.0,109.0,3,2.83,5.57,9.45,1,1,31,North America,0
ID_000308,320.0,109.0,3,1.41,4.55,8.92,1,1,29,South America,0
ID_000309,315.0,,2,2.78,3.58,8.0,0,0,35,Africa,1
ID_000310,313.0,104.0,2,1.84,4.66,9.8,0,1,25,North America,1
ID_000311,319.0,110.0,4,4.54,4.79,10.15,1,1,35,Africa,1
ID_000312,302.0,103.0,4,3.7,4.46,10.11,0,1,26,Asia,0
ID_000313,324.0,107.0,4,5.03,3.79,8.33,1,1,23,North America,1
ID_000314,321.0,109.0,3,4.72,5.82,8.77,1,1,26,Africa,0
ID_000315,,99.0,3,,2.77,7.78,0,0,30,Europe,1
ID_000316,,108.0,2,1.76,4.27,9.46,0,1,27,Europe,1
ID_000317,339.0,119.0,4,4.55,3.99,10.5,1,1,30,Asia,1
ID_000318,324.0,114.0,3,,2.3,9.94,0,1,20,North America,0
ID_000319,298.0,100.0,3,2.63,4.01,,0,0,34,North America,0
ID_000320,322.0,113.0,4,2.58,6.16,9.46,1,1,25,North America,0
ID_000321,334.0,115.0,5,6.25,6.24,9.63,1,1,27,Asia,0
ID_000322,,,4,5.88,4.08,9.04,1,1,24,North America,0
ID_000323,,109.0,3,3.95,3.74,6.54,0,1,23,Europe,0
ID_000324,311.0,102.0,3,3.35,4.78,10.1,0,1,21,Africa,0
ID_000325,333.0,118.0,5,3.9,4.76,8.55,1,1,25,Europe,0
ID_000326,,109.0,4,3.77,4.01,7.74,0,1,25,Europe,0
ID_000327,301.0,100.0,3,3.21,2.04,7.43,1,1,30,Africa,1
ID_000328,324.0,111.0,3,2.82,1.03,9.22,1,1,34,Europe,1
ID_000329,320.0,104.0,3,2.67,3.51,9.41,1,1,35,Asia,0
ID_000330,305.0,101.0,2,2.74,2.39,7.91,0,0,35,Africa,0
ID_000331,329.0,110.0,2,3.96,2.52,10.44,1,1,20,Europe,0
ID_000332,310.0,102.0,3,4.07,3.57,8.54,0,1,28,South America,0
ID_000333,,,4,5.64,3.62,10.52,0,1,31,Europe,1
ID_000334,320.0,109.0,5,6.13,4.45,9.35,1,1,30,Asia,1
ID_000335,309.0,98.0,2,3.34,3.99,8.08,0,0,25,North America,0
ID_000336,313.0,102.0,2,2.71,2.74,8.74,0,0,35,Europe,1
ID_000337,310.0,98.0,1,0.77,2.71,7.99,0,0,32,North America,1
ID_000338,322.0,108.0,3,3.8,2.57,9.23,1,1,22,South America,0
ID_000339,308.0,110.0,2,,3.82,6.98,0,0,23,Europe,0
ID_000340,328.0,114.0,4,4.74,3.33,10.64,1,1,31,Africa,0
ID_000341,307.0,105.0,2,1.64,3.17,7.24,0,0,30,North America,0
ID_000342,322.0,98.0,3,4.21,4.8,8.3,1,1,23,South America,1
ID_000343,317.0,99.0,2,3.12,3.58,,0,1,22,Africa,0
ID_000344,313.0,94.0,1,0.37,2.42,8.44,0,0,29,Africa,1
ID_000345,336.0,115.0,4,6.24,5.3,10.26,1,1,22,Africa,0
ID_000346,325.0,117.0,4,4.82,4.2,9.52,1,1,34,Africa,1
ID_000347,330.0,117.0,4,4.64,6.17,,1,1,22,Europe,0
ID_000348,320.0,106.0,3,2.41,2.89,8.75,1,1,23,Europe,0
ID_000349,333.0,117.0,5,5.12,5.18,9.42,1,1,35,Europe,1
ID_000350,297.0,101.0,1,2.31,1.37,8.9,0,0,26,South America,1
ID_000351,318.0,102.0,3,2.02,4.39,7.15,1,1,23,South America,1
ID_000352,,94.0,1,,2.02,7.56,0,0,28,South America,0
ID_000353,323.0,,3,3.16,2.27,8.25,1,1,20,Asia,1
ID_000354,325.0,114.0,3,2.63,3.42,7.76,0,1,27,South America,1
ID_000355,314.0,101.0,3,4.73,4.85,8.17,0,1,35,Europe,1
ID_000356,320.0,110.0,5,4.8,5.09,9.84,1,1,26,Europe,1
ID_000357,329.0,119.0,4,4.84,4.16,8.9,1,1,21,Asia,1
ID_000358,312.0,101.0,3,,3.77,6.73,0,0,27,Asia,1
ID_000359,,98.0,2,2.12,3.1,6.94,0,0,20,South America,1
ID_000360,305.0,101.0,2,3.11,2.61,,0,0,30,North America,1
ID_000361,305.0,102.0,5,4.72,3.09,,0,1,31,Asia,1
ID_000362,328.0,,4,4.74,4.1,9.46,1,1,28,Africa,0
